Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
1	S23A	like as the ti- as the game goes on you take off tiles so the island or oh whatever you	're standing	on gets smaller and smaller oh that 's quite exciting mm and so you 're like yeah it m- it	like_RR as_II the_AT ti-_FU as_II the_AT game_NN1 goes_VVZ on_II you_PPY take_VV0 off_II tiles_NN2 so_RR the_AT island_NN1 or_CC oh_UH whatever_DDQV you_PPY	're_VBR standing_VVG	on_RP gets_VVZ smaller_JJR and_CC smaller_JJR oh_UH that_DD1 's_VBZ quite_RG exciting_JJ mm_UH and_CC so_CS you_PPY 're_VBR like_RR yeah_UH it_PPH1 m-_FU it_PPH1	Catching up with family over food and presents	Discussing, explaining, anecdote telling	Revised	Texts not in Sample release	S0021 S0032 S0094 S0095	4	2014-12-27	1:50:43	Speakers' home	2014 Q4	2014	Close family, partners, very close friends	Computer programming, food, wine, temperature, saunas, opening presents	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o5&batch=0	12861	12862
2	S23A	the first time they 're sheared time that the sheep has a shearing oh right maybe oh right baby you	are sitting	on a present there huh right have I opened it yet ? no first and there 's another one erm	the_AT first_MD time_NNT1 they_PPHS2 're_VBR sheared_JJ time_NNT1 that_CST the_AT sheep_NN has_VHZ a_AT1 shearing_NN1 oh_UH right_RR maybe_RR oh_UH right_RR baby_NN1 you_PPY	are_VBR sitting_VVG	on_II a_AT1 present_NN1 there_RL huh_UH right_RR have_VH0 I_PPIS1 opened_VVN it_PPH1 yet_RR ?_YQUE no_UH first_MD and_CC there_EX 's_VBZ another_DD1 one_PN1 erm_UH	Catching up with family over food and presents	Discussing, explaining, anecdote telling	Revised	Texts not in Sample release	S0021 S0032 S0094 S0095	4	2014-12-27	1:50:43	Speakers' home	2014 Q4	2014	Close family, partners, very close friends	Computer programming, food, wine, temperature, saunas, opening presents	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o5&batch=1	17473	17474
3	S24E	n't know mm erm you look poised to do something mum I am going to do the ironing because I	'm sitting	here and I got up specially I 've been awake since seven o'clock and I 've nothing yet erm so	n't_XX know_VVI mm_UH erm_UH you_PPY look_VV0 poised_VVN to_TO do_VDI something_PN1 mum_NN1 I_PPIS1 am_VBM going_VVGK to_TO do_VDI the_AT ironing_NN1 because_CS I_PPIS1	'm_VBM sitting_VVG	here_RL and_CC I_PPIS1 got_VVD up_RP specially_RR I_PPIS1 've_VH0 been_VBN awake_JJ since_II seven_MC o'clock_RA and_CC I_PPIS1 've_VH0 nothing_PN1 yet_RR erm_UH so_RR	Midweek family dinner	Discussing, explaining, Inquiring, advising, annecdote telling, making arrangements	Revised	Texts not in Sample release	S0519 S0520 S0521	3	2015-09-15	0:45:53	Hunsonby, Cumbria	2015 Q3	2015	Close family, partners, very close friends	food, exercise, choir, family plans, family members, punctuality, school, teachers, philanthropy	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o5&batch=2	35450	35451
4	S28F	erm and we actually so this is donations at the funeral and then we did er they actu- when we	were sat	there it was actually after my dad had died erm we were sat there and my sister picked up the	erm_UH and_CC we_PPIS2 actually_RR so_RR this_DD1 is_VBZ donations_NN2 at_II the_AT funeral_NN1 and_CC then_RT we_PPIS2 did_VDD er_UH they_PPHS2 actu-_FU when_CS we_PPIS2	were_VBDR sat_VVN	there_RL it_PPH1 was_VBDZ actually_RR after_II my_APPGE dad_NN1 had_VHD died_VVN erm_UH we_PPIS2 were_VBDR sat_VVN there_RL and_CC my_APPGE sister_NN1 picked_VVD up_RP the_AT	chatting with beautician who is a casual friend whilst having reflexology	Discussing, explaining, advising, requesting, making arrangements	Revised	Texts not in Sample release	S0255 S0315	2	2014-10-01	1:59:33	Beauty treatment room	2014 Q4	2014	Friends, wider family circle	Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki 	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o5&batch=3	91058	91059
5	S28F	we did er they actu- when we were sat there it was actually after my dad had died erm we	were sat	there and my sister picked up the local paper started flicking through and she said oh no it 's it	we_PPIS2 did_VDD er_UH they_PPHS2 actu-_FU when_CS we_PPIS2 were_VBDR sat_VVN there_RL it_PPH1 was_VBDZ actually_RR after_II my_APPGE dad_NN1 had_VHD died_VVN erm_UH we_PPIS2	were_VBDR sat_VVN	there_RL and_CC my_APPGE sister_NN1 picked_VVD up_RP the_AT local_JJ paper_NN1 started_VVD flicking_VVG through_RP and_CC she_PPHS1 said_VVD oh_UH no_UH it_PPH1 's_VBZ it_PPH1	chatting with beautician who is a casual friend whilst having reflexology	Discussing, explaining, advising, requesting, making arrangements	Revised	Texts not in Sample release	S0255 S0315	2	2014-10-01	1:59:33	Beauty treatment room	2014 Q4	2014	Friends, wider family circle	Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki 	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o5&batch=4	91071	91072
6	S28F	so visualise that colour close your eyes mm going down into the feet just surrounding all your feet if your	were standing	up surrounding all your feet with this lovely red mm bright red colour wow just goose pimples all up and	so_RR visualise_VV0 that_DD1 colour_NN1 close_VV0 your_APPGE eyes_NN2 mm_UH going_VVG down_RP into_II the_AT feet_NN2 just_RR surrounding_VVG all_DB your_APPGE feet_NN2 if_CS your_APPGE	were_VBDR standing_VVG	up_RP surrounding_VVG all_DB your_APPGE feet_NN2 with_IW this_DD1 lovely_JJ red_JJ mm_UH bright_JJ red_JJ colour_NN1 wow_UH just_RR goose_NN1 pimples_NN2 all_DB up_RP and_CC	chatting with beautician who is a casual friend whilst having reflexology	Discussing, explaining, advising, requesting, making arrangements	Revised	Texts not in Sample release	S0255 S0315	2	2014-10-01	1:59:33	Beauty treatment room	2014 Q4	2014	Friends, wider family circle	Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki 	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o5&batch=5	91657	91658
7	S2B5	bank it would n't be doing much more with the zero point zero one percent interest no it would still	be sitting	there but the thing is we 're not I do n't know I mean it does n't seem like a	bank_NN1 it_PPH1 would_VM n't_XX be_VBI doing_VDG much_RR more_RRR with_IW the_AT zero_NN1 point_NN1 zero_MC one_MC1 percent_NNU interest_NN1 no_UH it_PPH1 would_VM still_RR	be_VBI sitting_VVG	there_RL but_CCB the_AT thing_NN1 is_VBZ we_PPIS2 're_VBR not_XX I_PPIS1 do_VD0 n't_XX know_VVI I_PPIS1 mean_VV0 it_PPH1 does_VDZ n't_XX seem_VVI like_II a_AT1	Husband and wife discuss some issues over a drink.	Discussing, explaining	Original	Texts within Sample release	S0024 S0144	2	2012-03-06	0:36:03	The Swan pub, Norfolk	2012 Q1	2012	Close family, partners, very close friends	Dogs, property, economics, health	T20	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o5&batch=6	131399	131400
8	S2EF	an hour early and we could n't get into the sports centre cos it was n't open yet so we	're stood	outside this like massive group of us there must have been like well over a team of us stood all	an_AT1 hour_NNT1 early_RR and_CC we_PPIS2 could_VM n't_XX get_VVI into_II the_AT sports_NN2 centre_NN1 cos_CS it_PPH1 was_VBDZ n't_XX open_JJ yet_RR so_RR we_PPIS2	're_VBR stood_VVN	outside_II this_DD1 like_RR massive_JJ group_NN1 of_IO us_PPIO2 there_EX must_VM have_VHI been_VBN like_II well_JJ over_II a_AT1 team_NN1 of_IO us_PPIO2 stood_VVD all_DB	Talking while eating pizza with housemates	Discussing, explaining, inquiring, anecdote telling, telling jokes	Revised	Texts not in Sample release	S0567 S0611 S0620 S0623	4	2016-01-10	1:25:40	All speakers’ rented uni home, Lancaster	2016 Q1	2016	Close family, partners, very close friends	Discussing/eating food, bedrooms, maths, Sugarhouse nightclub, the flooding in Lancaster, camping, travelling in Africa, games, Twilight, Jack Whitehall, The Big Fat Quiz, Cloud Atlas, the Chaos Walking trilogy, TV shows, mutual friends, The Vampire Diaries, How I Met Your Mother, playing Articulate, playing Heads Up, reading thrillers, bad presents, timetables, courses, Charlie Simpson, quizzes, University Challenge, Hungry Hippos, religious beliefs, primary school memories,  secret Santa, physics work, sports kit tops, talking about in jokes, airport scanners, bruising, Rocky Horror Picture Show, boxers, blood donation, module assessments, flavoured vodka, City of Bones, cracking knuckles	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o5&batch=7	185624	185625
9	S2LD	are really nice every single person that is walking past has looked at us no no that 's why I	'm sitting	this way I ca n't handle this kind of thing no no no two per cent when I go inside	are_VBR really_RR nice_JJ every_AT1 single_JJ person_NN1 that_CST is_VBZ walking_VVG past_RL has_VHZ looked_VVN at_II us_PPIO2 no_UH no_UH that_DD1 's_VBZ why_RRQ I_PPIS1	'm_VBM sitting_VVG	this_DD1 way_NN1 I_PPIS1 ca_VM n't_XX handle_VVI this_DD1 kind_NN1 of_IO thing_NN1 no_UH no_UH no_UH two_MC per_NNU21 cent_NNU22 when_CS I_PPIS1 go_VV0 inside_RL	Friends in a shopping centre chatting over lunch and a card game about school and TV shows	Discussing, explaining, inquiring, complaining, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0405 S0555 S0556	3	2015-10-21	1:07:58	Shopping centre, Slough	2015 Q4	2015	Friends, wider family circle	Sandwiches, food, friends and schoolmates, military/army/war, racism, school prefects, TV shows, card-games, movies, teachers, family, international politics, holiday stories, 	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o5&batch=8	264586	264587
10	S2LD	're only meant to sleep there true we want to do like interesting stuff we do n't want to just	be sitting	in the villa no I want I want there to be a surprise something wait wait here you can tell	're_VBR only_RR meant_VVN to_TO sleep_VVI there_RL true_JJ we_PPIS2 want_VV0 to_TO do_VDI like_RR interesting_JJ stuff_NN1 we_PPIS2 do_VD0 n't_XX want_VVI to_TO just_RR	be_VBI sitting_VVG	in_II the_AT villa_NN1 no_UH I_PPIS1 want_VV0 I_PPIS1 want_VV0 there_RL to_TO be_VBI a_AT1 surprise_NN1 something_PN1 wait_VV0 wait_VV0 here_RL you_PPY can_VM tell_VVI	Friends in a shopping centre chatting over lunch and a card game about school and TV shows	Discussing, explaining, inquiring, complaining, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0405 S0555 S0556	3	2015-10-21	1:07:58	Shopping centre, Slough	2015 Q4	2015	Friends, wider family circle	Sandwiches, food, friends and schoolmates, military/army/war, racism, school prefects, TV shows, card-games, movies, teachers, family, international politics, holiday stories, 	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o5&batch=9	275309	275310
